query,position,title,link,price,currency,rating,reviews,store_name,store_rating,shipping,on_sale,original_price
macbook pro m3,1,Apple MacBook Pro M3 Pro chip,https://www.google.com/shopping/product/11075226300425013050,1699.0,,4.8,5500,,,,,
macbook pro m3,2,Apple 14-Inch MacBook Pro Apple M3 Chip,https://www.google.com/shopping/product/12153035126592663857,1049.0,,4.8,2000,,,,,
macbook pro m3,3,"Apple 14"" MacBook Pro (M3, Space Gray)",,1699.0,,4.8,4400,,,,,
macbook pro m3,4,"Apple MacBook Pro 16"" M3 CPU GPU",https://www.google.com/shopping/product/5698736293440857557,2319.95,,4.8,2000,,,,,
macbook pro m3,5,Apple MacBook Pro 14-inch M3 Pro Chip (Refurbished),https://www.google.com/shopping/product/1492926159343824680,1949.0,,4.8,4400,,,,,
macbook pro m3,6,Apple MacBook Air M3 chip,https://www.google.com/shopping/product/10482692404153309227,1099.0,,4.8,4900,,,,,
macbook pro m3,7,"MacBook Pro 16"" M3 Pro 18gb 512gb",,849.0,,,,,,,,
macbook pro m3,8,"Apple 14"" MacBook Pro (M3 Pro, Space Black)",,1899.0,,4.8,4400,,,,,
macbook pro m3,9,MacBook Pro (2023) 14-inch - Apple M3 8-core and 10-core GPU - 8GB RAM - SSD 512GB,,1179.99,,,,,,,,
macbook pro m3,10,Apple MacBook Pro 16-inch M3 Pro Chip (Refurbished),https://www.google.com/shopping/product/16478895086913453732,2039.0,,,,,,,,
macbook pro m3,11,"Apple MacBook Pro 14"" M3 Pro (Late 2023)",https://www.google.com/shopping/product/12512654444516517402,1805.99,,5,1,,,,,
macbook pro m3,12,Apple MacBook Pro M3 18GB RAM 512GB SSD - Certified Used Refurbished at UpTrade,,1299.0,,4.8,1800,,,,,
macbook pro m3,13,"Apple 16"" MacBook Pro (M3 Pro, Space Black)",,2349.0,,4.8,2000,,,,,
macbook pro m3,14,Apple Macbook Pro M3 A2991 (p23010214),,1799.99,,4.5,3800,,,,,
macbook pro m3,15,Apple MacBook Pro 14-inch M3 Max Chip (Refurbished),https://www.google.com/shopping/product/2570671046548670890,2629.0,,4.8,4400,,,,,
macbook pro m3,16,"Apple MacBook Pro 2023 (M3) 14"" - Apple M3 chip: 8-core CPU/10-Core GPU - 1TB - Silver - 8GB RAM - Excellent - 2 Thunderbolts 4 ports Laptop - 12",,1234.97,,4.8,4400,,,,,
macbook pro m3,17,Apple MacBook Pro M3 Pro - Electronics,,1425.0,,,,,,,,
macbook pro m3,18,"Apple 14"" MacBook Pro (M3, Silver)",,1799.0,,,,,,,,
macbook pro m3,19,"Apple MacBook Pro 14.2"" with M3 Chip (Late 2023) Space Gray 8-Core / 10-Core 16GB 70W Adapter 1TB SSD",,1699.0,,4.8,2000,,,,,
macbook pro m3,20,"MacBook Pro Late 2023 (M3) - 14"" - Black - 512 GB",,1306.0,,,,,,,,
