position,title,url,source_name,uploaded,uploaded_utc,snippet,thumbnail_url
1,Which Parts of These Images Are A.I.-Generated?,https://www.nytimes.com/interactive/2024/12/27/technology/artificial-intelligence-generative-fill-photoshop-openai.html,The New York Times,The New York Times,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2,‘Godfather of AI’ shortens odds of the technology wiping out humanity over next 30 years,https://www.theguardian.com/technology/2024/dec/27/godfather-of-ai-raises-odds-of-the-technology-wiping-out-humanity-over-next-30-years,The Guardian,The Guardian,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
3,Did artificial intelligence shape the 2024 US election?,https://www.aljazeera.com/news/2024/12/25/did-artificial-intelligence-shape-the-2024-us-election,Al Jazeera,Al Jazeera,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
4,The AI stock trade is starting to shift beyond the 'Magnificent 7',https://finance.yahoo.com/news/the-ai-stock-trade-is-starting-to-shift-beyond-the-magnificent-7-151133023.html,Yahoo Finance,Yahoo Finance,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
5,"Meet the Spanish AI model earning up to €10,000 a month",https://www.euronews.com/next/2024/12/27/meet-the-first-spanish-ai-model-earning-up-to-10000-per-month,Euronews,Euronews,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
6,New York state government to monitor its use of AI under a new law,https://abcnews.go.com/US/wireStory/new-york-state-government-monitor-ai-new-law-117152959,"ABC News - Breaking News, Latest News and Videos","ABC News - Breaking News, Latest News and Videos",2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
7,Generation Beta: Starting in 2025 they'll be immersed in AI and Tech like never before,https://www.nbcnews.com/news/us-news/generation-beta-starting-2025-ai-tech-like-never-before-rcna184732,NBC News,NBC News,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
8,We need to think again about what the ‘A’ in AI signifies,https://www.ft.com/content/0926b62e-a67e-4d3a-a86c-6acebd9cc349,Financial Times,Financial Times,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
9,1 Top Artificial Intelligence Stock Down 35% to Buy Before It Crushes the Market in 2025,https://www.fool.com/investing/2024/12/27/1-top-artificial-intelligence-stock-down-35-to-buy/,The Motley Fool,The Motley Fool,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
10,13 Action News Big Story: Artificial Intelligence,https://www.13abc.com/2024/12/27/13-action-news-big-story-artificial-intelligence/,WTVG,WTVG,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
